date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:05	80663/80663	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2013:55:44%20GMT	https://profile.cheetastylecoding.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://profile.cheetastylecoding.com/)
15:48:05	55880/55880	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/glightbox/js/glightbox.min.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/glightbox/js/glightbox.min.js	(from https://profile.cheetastylecoding.com/)
15:48:06	35445/35445	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://profile.cheetastylecoding.com/)
15:48:07	143706/143706	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2011%20Mar%202023%2002:33:36%20GMT	https://profile.cheetastylecoding.com/assets/vendor/swiper/swiper-bundle.min.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/swiper/swiper-bundle.min.js	(from https://profile.cheetastylecoding.com/)
15:48:07	9843/9843	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202023%2000:27:14%20GMT	https://profile.cheetastylecoding.com/assets/vendor/typed.js/typed.umd.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/typed.js/typed.umd.js	(from https://profile.cheetastylecoding.com/)
15:48:07	21112/21112	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/waypoints/noframework.waypoints.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/waypoints/noframework.waypoints.js	(from https://profile.cheetastylecoding.com/)
15:48:08	2734/2734	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Mar%202023%2014:11:56%20GMT	https://profile.cheetastylecoding.com/assets/vendor/php-email-form/validate.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/php-email-form/validate.js	(from https://profile.cheetastylecoding.com/)
15:48:09	6197/6197	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Nov%202023%2015:00:20%20GMT	https://profile.cheetastylecoding.com/assets/js/main.js	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/js/main.js	(from https://profile.cheetastylecoding.com/)
15:48:09	130608/130608	---M--	200	added ('OK')	font/woff2	date:Mon,%2018%20Sep%202023%2013:55:44%20GMT	https://profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?2820a3852bdb9a5832199cc61cec4e65	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsafdf.woff2	(from https://profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/bootstrap-icons.css)
15:48:11	405670/405670	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.eot	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.eot	(from https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css)
15:48:11	176200/176200	---M--	200	added ('OK')	font/woff	date:Mon,%2018%20Sep%202023%2013:55:44%20GMT	https://profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?2820a3852bdb9a5832199cc61cec4e65	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/fonts/bootstrap-iconsafdf.woff	(from https://profile.cheetastylecoding.com/assets/vendor/bootstrap-icons/bootstrap-icons.css)
15:48:14	115680/115680	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css)
15:48:16	320944/320944	---M--	200	added ('OK')	font/ttf	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css)
15:48:16	321020/321020	---M--	200	added ('OK')	font/woff	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.woff	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.woff	(from https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css)
15:48:18	1242122/1242122	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2009%20Mar%202023%2014:11:54%20GMT	https://profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://profile.cheetastylecoding.com/assets/vendor/boxicons/css/boxicons.min.css)
15:48:20	298353/298353	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Dec%202023%2003:54:24%20GMT	https://profile.cheetastylecoding.com/assets/img/hero-bg.jpg	C:/Users/Waseem/Downloads/MY%20CV/profile.cheetastylecoding.com/assets/img/hero-bg.jpg	(from https://profile.cheetastylecoding.com/assets/css/style.css)
